image_path,tp,confusions,missed_gt,false_positive,error_score,categories,architecture,best_run
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0094_3.jpg,1,5,2,2,16,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0654_1.jpg,0,2,5,1,15,B2_B3_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0546_1.jpg,2,2,4,3,15,B2_B3_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0745_4.jpg,1,1,5,3,15,B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0834_3.jpg,0,3,4,0,14,B2_B3_confusion;B4_missed,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0079_1.jpg,1,3,3,2,14,B2_B3_confusion;B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0221_1.jpg,1,3,3,2,14,B2_B3_confusion;B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0097_3.jpg,0,2,3,4,14,B2_B3_confusion;B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0392_1.jpg,1,2,3,4,14,B2_B3_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0823_7.jpg,2,0,7,0,14,B4_missed,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0043_2.jpg,0,4,2,1,13,B2_B3_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0066_2.jpg,1,4,1,3,13,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0352_1.jpg,1,3,2,3,13,B2_B3_confusion;B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0097_4.jpg,2,1,3,5,13,B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0684_4.jpg,3,0,6,1,13,B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0091_2.jpg,0,5,1,0,12,B2_B3_confusion,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0250_4.jpg,2,4,1,2,12,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0479_1.jpg,1,4,1,2,12,B2_B3_confusion;B3_B4_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0263_4.jpg,1,3,2,2,12,B2_B3_confusion;false_positive,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0279_1.jpg,1,2,4,0,12,B2_B3_confusion,yolov9c.pt,p1bfc_yolov9c_640_s2_e30p10m30
