image_path,tp,confusions,missed_gt,false_positive,error_score,categories,branch,candidate,checkpoint,split
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0107_1.jpg,3,3,2,13,23,B2_B3_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0075_4.jpg,3,4,2,7,19,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0075_2.jpg,3,4,0,11,19,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0075_3.jpg,2,5,1,6,18,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0264_4.jpg,1,4,1,7,17,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0579_2.jpg,4,3,1,9,17,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0052_3.jpg,2,3,0,11,17,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0677_2.jpg,3,2,1,11,17,B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0838_5.jpg,0,1,5,5,17,B2_B3_confusion;B4_missed;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0236_4.jpg,2,3,1,8,16,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
/workspace/Dataset-Sawit-YOLO/images/test/DAMIMAS_A21B_0423_1.jpg,2,3,1,8,16,B2_B3_confusion;B3_B4_confusion;false_positive,one_stage,yolo11m,last,test
